date;TRIL;CSGS;BSET;FNHC;ADES;TRIB;OPOF;BLDR;IPAR;SBAC;ULBI;BCML;DOX;SNPS;BKYI
2005-10-18;8.94;19.63343398;9.267968137;8.482951866;7.107999718;6.552093861;17.26928228;19.73;9.445094671;15.00635582;12.9;11.5;23.11654259;18.47;15.84
2005-10-19;8.94;20.20127212;9.355111643;7.935250731;6.949304389;6.429183009;17.11840818;20.37;9.434617583;15.2051155;13.12;11.5;22.78820782;18.73;16.32
2005-10-20;8.94;19.71086645;9.201328985;8.191880116;7.055227374;6.3346362;17.11840818;19.53;9.219837283;14.88710001;12.93;11.5;23.03667738;18.39;16.56
2005-10-21;8.94;20.05501078;9.155194188;8.137852877;7.531880805;6.457547052;17.17643668;20.72;8.853139209;15.37406123;12.55;11.5;23.0544252;18.52;15.84
2005-10-24;8.94;20.09802882;9.498642123;8.185126711;7.531880805;6.64664067;17.11840818;20.8;8.795515226;15.87096043;12.61;11.5;23.03667738;18.84;15.84
2005-10-25;8.94;19.9689747;9.201328985;8.063565424;7.33516669;6.62678584;17.11840818;21.5;8.769322506;15.48337905;12.83;11.5;22.77045999;18.72;15.6
2005-10-26;8.94;18.94514532;9.303850757;7.752908799;7.146018503;6.873553011;17.11840818;21.48;7.973063832;14.84734808;12.575;11.5;22.61072957;18.83;14.64
2005-10-27;8.94;19.69365924;9.124437657;7.678621346;6.896342897;6.523729818;17.11840818;19.57;7.815907515;14.55914654;12.11;11.5;22.85032521;18.38;14.4
2005-10-28;8.94;20.28730821;9.426876883;7.69888156;6.714760637;6.429183009;17.11840818;19.5;8.009733639;14.55914654;12.22;11.5;23.14316433;18.63;14.4
2005-10-31;8.94;20.22708295;9.596037805;7.889313259;6.688279891;6.3346362;17.11840818;19.55;7.936394025;14.67840235;12.12;11.5;23.48924692;18.95;14.4
2005-11-01;8.94;20.09802882;9.647298691;8.290580055;6.676931;6.306272158;17.11840818;19.56;7.758283532;14.57902251;11.67;11.5;22.96568607;18.72;13.92
2005-11-02;7.77;20.57983089;9.949737917;8.161358544;6.427255393;6.419728328;17.11840818;19.88;7.967825288;14.53927058;12.12;12.25;23.64010344;18.66;13.68
2005-11-03;7.77;20.57983089;9.857468322;8.025335902;6.52561245;6.674910166;17.11840818;19.74;7.794953339;14.80759614;12.09;12.5;23.51586866;18.61;13.68
2005-11-04;7.77;20.76911027;9.980494448;7.726086089;6.521829487;6.741187479;17.11840818;19.29;7.889247129;15.27468139;11.99;12.5;23.87082517;18.53;14.4
2005-11-07;7.77;21.04442573;10.05738578;7.780495146;6.431038357;6.873553011;17.11840818;18.91;7.815907515;15.25480542;12.23;12.1;24.27902515;18.44;14.16
